id,title,genres,release_date,director,cast,vote_average,vote_count,popularity,runtime,overview,keywords,status,spoken_languages,production_companies,production_countries,budget,revenue
707,Heavenly Creatures,"['Drama', 'Fantasy']",1994-09-02,['Peter Jackson'],"['Melanie Lynskey', 'Kate Winslet', 'Sarah Peirse', ""Simon O'Connor"", 'Diana Kent', 'Clive Merrison', 'Gilbert Goldie', 'Jed Brophy', 'Darien Takle', 'Peter Elliott', 'Elizabeth Moody', 'Liz Mullane', 'Jean Guérin', 'Ben Fransham']",7.0,294,8.753409,99.0,"Based on the true story of Juliet Hulme and Pauline Parker, two close friends who share a love of fantasy and literature, who conspire to kill Pauline's mother when she tries to end the girls' intense and obsessive relationship.","['mother', 'sex', 'secret', 'obsession', 'literature', 'nudity', 'fantasy', 'passion', 'love', 'friends', 'murder', 'independent film', 'lesbian', 'true', 'relationship']",Released,['English'],"['WingNut Films', 'Miramax Films', 'New Zealand Film Commission', 'Fontana Productions']",['New Zealand'],5000000,3049135
708,Heavy Metal,"['Animation', 'Science Fiction']",1981-08-07,['Gerald Potterton'],"['Rodger Bumpass', 'Jackie Burroughs', 'Joe Flaherty', 'Harold Ramis', 'John Candy', 'Don Francks', 'Caroline Semple', 'Richard Romanus', 'Susan Roman', 'Harvey Atkin', 'Al Waxman', 'Marilyn Lightstone', 'Glenis Wootton Gross', 'Eugene Levy', 'John Vernon', 'George Touliatos', 'August Schellenberg', 'Vlasta Vrána', 'Alice Playten']",6.2,148,12.928269,90.0,"A glowing orb terrorizes a young girl with a collection of stories of dark fantasy, eroticism and horror.","['flying car', 'taxi', 'heavy metal', 'cult favorite', 'midnight movie', 'drug use', 'adult animation']",Released,"['English', 'Magyar']",['Canadian Film Development Corporation (CFDC)'],['Canada'],9300000,0
709,Hellboy,"['Fantasy', 'Action', 'Science Fiction']",2004-04-02,['Guillermo del Toro'],"['Ron Perlman', 'Selma Blair', 'Rupert Evans', 'John Hurt', 'Jeffrey Tambor', 'Karel Roden', 'Brian Steele', 'Ladislav Beran', 'Biddy Hodson', 'Corey Johnson', 'Brian Caspe', 'James Babson', 'Doug Jones', 'Ellen Savaria', 'Kevin Trainor', 'Stephen Fisher', 'Garth Cooper', 'Angus MacInnes', 'Jim Howick', 'Rory Copus', 'Santiago Segura']",6.5,2225,47.479755,122.0,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.","['black magic', 'fistfight', 'cover-up', 'superhero', 'paranormal phenomena', 'narration from grave', 'demon', 'occult', 'combat photography', 'reanimated corpse', 'duringcreditsstinger']",Released,"['Pусский', 'English']","['Revolution Studios', 'Dark Horse Entertainment', 'Lawrence Gordon Productions', 'Starlite Films']",['United States of America'],66000000,99318987
710,Hellboy II: The Golden Army,"['Adventure', 'Fantasy', 'Science Fiction']",2008-07-11,['Guillermo del Toro'],"['Ron Perlman', 'Selma Blair', 'Jeffrey Tambor', 'Doug Jones', 'John Hurt', 'Luke Goss', 'John Alexander', 'James Dodd', 'Seth MacFarlane', 'Anna Walton', 'Brian Steele']",6.5,1527,58.57976,120.0,"In this continuation to the adventure of the demon superhero, an evil elf breaks an ancient pact between humans and creatures, as he declares war against humanity. He is on a mission to release The Golden Army, a deadly group of fighting machines that can destroy the human race. As Hell on Earth is ready to erupt, Hellboy and his crew set out to defeat the evil prince.","['auction', 'northern ireland', 'resignation', 'superhero', 'rebellion', 'violence', 'spear', 'cut arm', 'split screen', 'superhero team', 'arm ripped off', 'super villain', 'remorse', 'self exile', 'vanishing figure', 'father son conflict']",Released,['English'],"['Universal Pictures', 'Dark Horse Entertainment', 'Lawrence Gordon Productions', 'Mid Atlantic Films', 'Relativity Media', 'Internationale Filmproduktion Eagle']","['Germany', 'United States of America']",85000000,160388063
711,Hellraiser,['Horror'],1987-09-11,['Clive Barker'],"['Andrew Robinson', 'Clare Higgins', 'Ashley Laurence', 'Sean Chapman', 'Oliver Smith', 'Robert Hines', 'Anthony Allen', 'Leon Davis', 'Michael Cassidy', 'Frank Baker', 'Kenneth Nelson', 'Gay Baynes', 'Niall Buggy', 'Dave Atkins', 'Oliver Parker', 'Doug Bradley', 'Nicholas Vince', 'Simon Bamford', 'Grace Kirby', 'Sharon Bower', 'Raul Newney', 'Pamela Sholto']",6.9,449,22.583834,94.0,"Larry and his wife, Julia move into an old house and discover a hideous creature - the man's half-brother, who is also the woman's former lover - hiding upstairs. Having lost his earthly body to a trio of S&amp;M demons, the Cenobites, Frank, is brought back into existence by a drop of blood on the floor. He soon forces his former mistress to bring him his necessary human sacrifices to complete his body... but the Cenobites won't be happy about this.","['underworld', 'seduction', 'supernatural', 'pinhead', 'revenge', 'undead', 'demon', 'puzzle box', 'attic', 'cenobites', 'body horror']",Released,['English'],"['New World Pictures', 'Cinemarque Entertainment BV', 'Film Futures', 'Rivdel Films']",['United Kingdom'],1000000,14564027
712,Her,"['Romance', 'Science Fiction', 'Drama']",2013-12-18,['Spike Jonze'],"['Joaquin Phoenix', 'Scarlett Johansson', 'Rooney Mara', 'Amy Adams', 'Olivia Wilde', 'Chris Pratt', 'Portia Doubleday', 'Sam Jaeger', 'Katherine Boecher', 'Kelly Sarah', 'Spike Jonze', 'Bill Hader', 'Kristen Wiig', 'Brian Cox', 'Lynn A. Freedman', 'Lisa Renee Pitts', 'Gabe Gomez', 'Artt Butler', 'May Lindstrom', 'Matt Letscher', 'David Azar', 'Guy Lewis', 'Melanie Seacat', 'Pramod Kumar', 'Evelyn Edwards', 'Steve Zissis', 'Dane White', 'Nicole Grother', 'James Ozasky', 'Samantha Sarakanti', 'Luka Jones', 'Gracie Prewitt', 'Claudia Choi', 'Laura Kai Chen', 'Soko', 'Wendy Leon', 'Lil Buck']",7.9,4097,53.682367,126.0,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theordore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.","['artificial intelligence', 'computer', 'love', 'loneliness', 'transhumanism', 'heartbreak', 'near future', 'singularity', 'bittersweet']",Released,['English'],"['Warner Bros.', 'Annapurna Pictures']","['China', 'United States of America']",23000000,47351251
713,Here Comes the Boom,['Comedy'],2012-10-11,['Frank Coraci'],"['Salma Hayek', 'Kevin James', 'Henry Winkler', 'Joe Rogan', 'Reggie Lee', 'Greg Germann', 'Bas Rutten', 'Charice', 'Nicholas R. Grava', 'Frank Coraci', 'Olivia Jordan', 'Nikki Tyler-Flynn', 'Rich Manley', 'Jason Sandler']",6.0,593,26.799913,105.0,A high school biology teacher moonlights as a mixed-martial arts fighter in an effort to raise money to save the school's music program.,"['high school teacher', 'prize money', 'physics teacher', 'fighting movie', 'budget cutting']",Released,['English'],"['Columbia Pictures', 'Happy Madison Productions', 'Broken Road Productions']",['United States of America'],0,73100172
714,Hero,"['Drama', 'Adventure', 'Action', 'History']",2002-12-19,['Zhang Yimou'],"['Jet Li', 'Tony Leung Chiu-Wai', 'Maggie Cheung', 'Donnie Yen', 'Zhang Ziyi', 'Chen Dao-Ming', 'Liu Zhong Yuan', 'Zheng Tia Yong', 'Yan Qin', 'Chang Xiao Yang', 'James Hong', 'Xia Bin', 'Hua Cao', 'Heizi', 'Ma Wen Hua', 'Xu Kuang Hua', 'Li Lei', 'Emil Lin', 'Liu Jie', 'Bruce Locke', 'Jin Ming', 'Angela Oh', 'Peng Qiang', 'James Sie', 'Elizabeth Sung', 'Shou Xin Wang', 'Yakun Zhang']",7.2,635,23.607392,99.0,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,"['countryside', 'loss of lover', 'right and justice', 'patriot']",Released,['普通话'],"['Beijing New Picture Film Co. Ltd.', 'China Film Co-Production Corporation']",['China'],31000000,177394432
715,Hesher,['Drama'],2010-01-22,['Spencer Susser'],"['Joseph Gordon-Levitt', 'Natalie Portman', 'Rainn Wilson', 'Audrey Wasilewski', 'Frank Collison', 'Piper Laurie', 'Paul Bates', 'John Carroll Lynch', 'Devin Brochu', 'Monica Staggs', 'Mary Elizabeth Barrett']",6.7,212,13.635828,106.0,A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.,"['loss of mother', 'clerk', 'grocery', 'loss of relative', 'loss of wife', 'briefs', 'duringcreditsstinger']",Released,['English'],"['DRO Entertainment', 'The Last Picture Company', 'CatchPlay', 'Corner Store Entertainment', 'Filmula', 'Handsomecharlie Films', 'American Work', 'Dreamagine Entertainment']",['United States of America'],7000000,382946
716,Hidalgo,"['Western', 'Adventure']",2004-03-05,['Joe Johnston'],"['Viggo Mortensen', 'Zuleikha Robinson', 'Omar Sharif', 'Adam Alexi-Malle', 'Louise Lombard', 'Silas Carson', 'Harsh Nayyar', 'C. Thomas Howell', 'J.K. Simmons', 'Adoni Maropis', 'Joshua Wolf Coleman', 'Saïd Taghmaoui', 'Victor Talmadge', 'Peter Mensah', 'Franky Mwangi', 'Floyd Red Crow Westerman']",6.5,318,16.759252,136.0,"Set in 1890, this is the story of a Pony Express courier who travels to Arabia to compete with his horse, Hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...","['horse race', 'horse', 'racehorse']",Released,['English'],"['Casey Silver Productions', 'Touchstone Pictures', 'Dune Films']","['United States of America', 'Morocco']",100000000,108103450
717,Hide and Seek,"['Horror', 'Mystery', 'Thriller']",2005-01-27,['John Polson'],"['Robert De Niro', 'Dakota Fanning', 'Famke Janssen', 'Elisabeth Shue', 'Amy Irving', 'Dylan Baker', 'Melissa Leo', 'Robert John Burke', 'Molly Grant Kallins', 'Brendan Sexton III']",6.1,440,18.228538,101.0,"David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.","['house', 'imaginary friend', 'suspense', 'loss of wife']",Released,['English'],"['Twentieth Century Fox Film Corporation', 'Fox 2000 Pictures', 'Josephson Entertainment', 'MBC Beteiligungs Filmproduktion']",['United States of America'],25000000,122644820
718,High Crimes,"['Drama', 'Mystery', 'Thriller', 'Crime']",2002-04-03,['Carl Franklin'],"['Ashley Judd', 'Morgan Freeman', 'Jim Caviezel', 'Amanda Peet', 'Adam Scott', 'Bruce Davison', 'Tom Bower', 'Juan Carlos Hernández', 'Michael Gaston', 'Jude Ciccolella', 'Emilio Rivera', 'Michael Shannon', 'Dawn Hudson', 'John Billingsley', 'Dendrie Taylor', 'Paula Jai Parker', 'John Apicella', 'Florence Regina', 'Julie Remala', 'Kyle T. Heffner', 'Joe Mazza', 'Jesse Beaton', 'Maureen McVerry', 'Jake Gentry', 'Alex Nesic', 'Don Bajema', 'Eddie Santiago', 'Arlen Escarpeta', 'Lucas Ford', 'Cynthia Shope', 'Stephen Jared', 'Randy Mulkey', 'Karen Kahn', 'Paul Ghiringhelli', 'Elaine Corral Kendall', 'Lee Whittaker']",6.1,184,14.046705,115.0,"High powered lawyer Claire Kubik finds her world turned upside down when her husband, who she thought was Tom Kubik, is arrested and is revealed to be Ron Chapman. Chapman is on trial for a murder of Latin American villagers while he was in the Marines. Claire soon learns that to navigate the military justice system, she'll need help from the somewhat unconventional Charlie Grimes.","['based on novel', 'witness', 'village', 'court', 'love', 'murder', 'lawyer', 'defense', 'trial', 'justice', 'husband', 'u.s. marine', 'arrested', 'classified']",Released,"['English', 'Español']","['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'Monarch Pictures', 'Epsilon Motion Pictures', 'New Regency Pictures', 'Manifest Film Company']",['United States of America'],42000000,63781810
719,High Fidelity,"['Comedy', 'Drama', 'Romance', 'Music']",2000-03-17,['Stephen Frears'],"['John Cusack', 'Iben Hjejle', 'Todd Louiso', 'Jack Black', 'Lisa Bonet', 'Catherine Zeta-Jones', 'Joan Cusack', 'Tim Robbins', 'Chris Rehmann', 'Ben Carr', 'Lili Taylor', 'Joelle Carter', 'Natasha Gregson Wagner', 'Shannon Stillo', 'Drake Bell', 'Laura Whyte', 'Sara Gilbert', 'Rich Talarico', ""Matthew O'Neill"", 'Brian Powell', 'Margaret Travolta', 'Bruce Springsteen', 'Jill Peterson', 'Dick Cusack', 'Susan Yoo', 'Chris Bauer', 'K. K. Dodds', 'Marilyn Dodds Frank', 'Duke Doyle', 'Aaron Himelstein', 'Jonathan Herrington', 'Daniel Lee Smith', 'Leah Gale', 'David Darlow', 'Erik Gundersen', 'Alex Désert', 'Alan S. Johnson', 'Ian Belknap', 'Andrew Micheli', 'Polly Noonan', 'Philip Rayburn Smith', 'Michele Graff', 'Susie Cusack', 'Liam Hayes', 'Damian Rogers', 'Robert A. Villanueva', 'Joe Spaulding', 'Scott A. Martin', 'Heather Norris']",7.0,628,23.982956,113.0,"When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back.","['chicago', 'music record', 'rock and roll', 'record store', 'soul', 'disc jockey', 'pop', 'bruce frederick joseph springsteen', 'record collection']",Released,"['Dansk', 'English']","['Buena Vista', 'Touchstone Pictures']","['United Kingdom', 'United States of America']",30000000,47126295
720,High Noon,['Western'],1952-03-27,['Fred Zinnemann'],"['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell', 'Lloyd Bridges', 'Katy Jurado', 'Otto Kruger', 'Lon Chaney Jr.', 'Harry Morgan', 'Ian MacDonald', 'Eve McVeagh', 'Morgan Farley', 'Harry Shannon', 'Lee Van Cleef', 'Robert J. Wilke', 'Sheb Wooley', 'Jack Elam', 'John Doucette', 'Ted Stanhope', 'Lee Aaker', 'Guy Beach', 'Larry J. Blake', 'John Breen', 'Tex Driscoll', 'Herschel Graham', 'Paul Kruger', ""William H. O'Brien"", 'Roy Bucko', 'Russell Custer', 'Nora Bush', 'Ann Kunde', 'Ben Corbett', 'Rudy Germane', 'Chuck Hayward', 'Michael Jeffers', 'Kansas Moehring', 'Jack Montgomery', 'Buddy Roosevelt', 'Allen D. Sewall', 'Howland Chamberlain', 'Virginia Christine', 'Cliff Clark', 'Paul Dubov', 'Dick Elliott', 'Virginia Farmer', 'Tim Graham', 'Tom Greenway', 'Harry Harvey', 'Nolan Leary', 'Tom London', 'Merrill McCormick', 'William Newell', 'James Millican', ""William 'Bill' Phillips"", 'Lucien Prival', 'Ralph Reed', 'Charles Soldani', 'Slim Talbot']",7.6,334,18.644023,85.0,High Noon is about a recently freed leader of a gang of bandits in the desert who is looking to get revenge on the Sheriff who put him in jail. A legendary western film from the Austrian director Fred Zinnemann.,"['gunslinger', 'showdown', 'fistfight', 'morality', 'u.s. marshal', 'battle', 'justice', 'one against many', 'quick draw', 'brawl', 'street shootout']",Released,['English'],"['United Artists', 'Stanley Kramer Productions']",['United States of America'],730000,8000000
721,High Plains Drifter,['Western'],1973-04-19,['Clint Eastwood'],"['Clint Eastwood', 'Verna Bloom', 'Marianna Hill', 'Mitchell Ryan', 'Jack Ging', 'Stefan Gierasch', 'Ted Hartley', 'Billy Curtis', 'Geoffrey Lewis', 'Scott Walker', 'Walter Barnes', 'Paul Brinegar', 'Richard Bull', 'Robert Donner', 'John Hillerman']",7.4,278,19.127239,105.0,"A gunfighting stranger comes to the small settlement of Lago. After gunning down three gunmen who tried to kill him, the townsfolk decide to hire the Stranger to hold off three outlaws who are on their way.","['gunslinger', 'desperation', 'outlaw']",Released,['English'],"['Universal Pictures', 'Malpaso Productions']",['United States of America'],5500000,15700000
722,High School Musical,"['Comedy', 'Drama', 'Family', 'Music', 'TV Movie']",2006-01-20,['Kenny Ortega'],"['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale', 'Lucas Grabeel', 'Corbin Bleu', 'Monique Coleman', 'Bart Johnson', 'Alyson Reed', 'Chris Warren, Jr.', 'Olesya Rulin', 'Ryne Sanborn', 'Joey Miyashima', 'Kaycee Stroh', 'Drew Seeley']",6.1,1000,16.536374,98.0,"Troy (Zac Efron), the popular captain of the basketball team, and Gabriella (Vanessa Anne Hudgens), the brainy and beautiful member of the academic club, break all the rules of East High society when they secretly audition for the leads in the school's musical. As they reach for the stars and follow their dreams, everyone learns about acceptance, teamwork, and being yourself. And it's all set to fun tunes and very cool dance moves!","['becoming an adult', 'musical', 'music', 'high school', 'school performance', 'high school sports', 'jock', 'teenager', 'clique', 'theater', 'peer pressure', 'teenage romance']",Released,['English'],['Disney Channel'],['United States of America'],4200000,0
723,High School Musical 2,"['Comedy', 'Drama', 'Family', 'Music']",2007-08-17,['Kenny Ortega'],"['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale', 'Lucas Grabeel', 'Corbin Bleu', 'Monique Coleman', 'Brandon Cyrus', 'Bart Johnson', 'Alyson Reed', 'Chris Warren, Jr.', 'Jessica Tuck', 'Robert Curtis Brown', 'Mark L. Taylor', 'Ryne Sanborn', 'Olesya Rulin', 'Kaycee Stroh', 'Miley Cyrus']",6.1,843,21.01755,104.0,"The East High Wildcats are ready to have the time of their lives. Troy (Zac Efron) is thrilled when he’s offered a job in a country club, but it’s all part of Sharpay’s (Ashley Tisdale) plot to lure him away from Gabriella (Vanessa Hudgens). How will it all turn out? All questions are answered on the night of the club’s Talent Show.","['musical', 'music', 'summer', 'teenager', 'summer job', 'country club']",Released,['English'],['Disney Channel'],['United States of America'],0,7000000
724,High School Musical 3: Senior Year,"['Comedy', 'Drama', 'Family', 'Music', 'Romance']",2008-10-22,['Kenny Ortega'],"['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale', 'Lucas Grabeel', 'Corbin Bleu', 'Monique Coleman', 'Justin Martin', 'Chris Warren, Jr.', 'Olesya Rulin', 'Matt Prokop', 'Ryne Sanborn', 'Kaycee Stroh', 'Alyson Reed', 'Jemma McKenzie-Brown', 'Katie Cockrell']",6.2,821,21.801188,116.0,"It's almost graduation day for high school seniors Troy, Gabriella, Sharpay, Chad, Ryan and Taylor ― and the thought of heading off in separate directions after leaving East High has these Wildcats thinking they need to do something they'll remember forever. Together with the rest of the Wildcats, they stage a spring musical reflecting their hopes and fears about the future and their unforgettable experiences growing up together. But with graduation approaching and college plans in question, what will become of the dreams, romances, and friendships of East High's senior Wildcats?","['musical', 'music', 'high school', 'coming of age', 'teenager', 'high school student', 'duringcreditsstinger']",Released,['English'],['Walt Disney Pictures'],['United States of America'],0,0
725,High Tension,"['Horror', 'Thriller', 'Mystery']",2003-06-18,['Alexandre Aja'],"['Cécile de France', 'Maïwenn', 'Philippe Nahon', 'Franck Khalfoun', 'Andrei Finti', 'Oana Pellea', 'Marco Claudiu Pascu']",6.6,271,4.952983,91.0,"Alexia travels with her friend Marie to spend a couple of days with her family in their farm in the country. They arrive late and they are welcomed by Alexia's father. Late in the night, a sadistic and sick killer breaks into the farmhouse, slaughters Alexia's family--including their dog--and kidnaps Alexia. Marie hides from the criminal and tries to help the hysterical and frightened Alexia, chase the maniac, and disclose his identity in the end.","['mass murder', 'insanity', 'gore', 'survival', 'farmhouse', 'extreme violence', 'maniac', 'home invasion', 'bound and gagged', 'circular saw', 'new french extremism']",Released,"['Italiano', 'English', 'Français']","['Alexandre Films', 'EuropaCorp']",['France'],0,0
726,Highlander,"['Adventure', 'Action', 'Fantasy']",1986-03-07,['Russell Mulcahy'],"['Christopher Lambert', 'Roxanne Hart', 'Clancy Brown', 'Sean Connery', 'Beatie Edney', 'Alan North', 'Jon Polito', 'Sheila Gish', 'Hugh Quarshie', 'Peter Diamond', 'Billy Hartman', 'James Cosmo', 'Celia Imrie', 'Christopher Malcolm', 'Frank Dux', 'Ian Reddington']",6.8,624,29.253833,116.0,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,"['new york', 'scotland', 'swordplay', 'sword', 'cut-off head', 'immortality']",Released,['English'],"['Davis-Panzer Productions', 'Thorn EMI Screen Entertainment']","['United Kingdom', 'United States of America']",16000000,5900000
727,History of the World: Part I,['Comedy'],1981-06-12,['Mel Brooks'],"['Mel Brooks', 'Dom DeLuise', 'Madeline Kahn', 'Harvey Korman', 'Cloris Leachman', 'Ron Carey', 'Gregory Hines', 'Pamela Stephenson', 'Shecky Greene', 'Sid Caesar', 'Mary-Margaret Humes', 'Orson Welles', 'Rudy De Luca', 'Leigh French', 'Richard Karron', 'Susette Carroll', 'Sammy Shore', 'J.J. Barry', 'Earl Finn', 'Suzanne Kent', 'Michael Champion', 'Howard Morris', 'Charlie Callas', 'Dena Dietrich', 'Paul Mazursky', 'Ron Clark', 'Jack Riley', 'Art Metrano', 'Diane Day', 'Henny Youngman', 'Hunter von Leer', 'Fritz Feld', 'Hugh M. Hefner', 'Pat McCormick', 'Barry Levinson', 'Johnny Silver', 'John Hurt', 'Fiona Richmond', 'Nigel Hawthorne', 'Bea Arthur']",6.5,204,14.282314,92.0,"An uproarious version of history that proves nothing is sacred – not even the Roman Empire, the French Revolution and the Spanish Inquisition.","['moses', 'roman empire', 'musical', 'stone age', 'music', 'julius caesar']",Released,"['Français', 'Latin', 'English']","['Twentieth Century Fox Film Corporation', 'Brooksfilms']",['United States of America'],11000000,31672907
728,Hitch,"['Comedy', 'Drama', 'Romance']",2005-02-10,['Andy Tennant'],"['Will Smith', 'Eva Mendes', 'Kevin James', 'Amber Valletta', 'Julie Ann Emery', 'Adam Arkin', 'Robinne Lee', 'Ryan Cross', 'Michael Rapaport', 'Jeffrey Donovan', 'Ato Essandoh', 'Nathan Lee Graham', 'Paula Patton', 'Philip Bosco', 'Navia Nguyen', 'Matt Malloy', 'Beau Sia']",6.4,1665,34.576913,118.0,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.","['speed date', 'romantic comedy', 'dating']",Released,['English'],"['Columbia Pictures Corporation', 'Overbrook Entertainment']",['United States of America'],70000000,368100420
729,Hocus Pocus,"['Comedy', 'Family', 'Fantasy']",1993-07-16,['Kenny Ortega'],"['Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Omri Katz', 'Thora Birch', 'Vinessa Shaw', 'Jodie Rivera', 'Jason Marsden', 'Larry Bagby', 'Tobias Jelinek', 'Stephanie Faracy', 'Charles Rocket', 'Doug Jones', 'Karyn Malchus', 'Sean Murray', 'Steve Voboril', 'Norbert Weisser', 'Kathleen Freeman', 'D.A. Pauley', 'Ezra Sutton', 'Don Yesso', 'Michael McGrady', 'Leigh Hamilton', 'Devon Reeves', 'Joseph Malone', 'Jordan Redmond', 'Frank Del Boccio', 'Jeff Neubauer', 'Teda Bracci', 'Peggy Holmes', 'Garry Marshall', 'Penny Marshall']",6.4,471,18.650748,96.0,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.","['witch', 'halloween', 'salem', 'trick or treating', 'spellcasting']",Released,['English'],['Walt Disney Pictures'],['United States of America'],28000000,39514713
730,Holes,"['Adventure', 'Family', 'Drama', 'Comedy']",2003-04-18,['Andrew Davis'],"['Sigourney Weaver', 'Jon Voight', 'Tim Blake Nelson', 'Patricia Arquette', 'Shia LaBeouf', 'Khleo Thomas', 'Jake M. Smith', 'Byron Cotton', 'Brenden Richard Jefferson', 'Eartha Kitt', 'Siobhan Fallon', 'Max Kasch', 'Noah Poletiek', 'Zane Holtz', 'Steven Kozlowski', 'Jim Wilkey', 'Roma Maffia', 'Ray Baker', 'Alex Daniels', 'Tom Brainard', 'Haleigh Ann Trickett', 'Henry Winkler', 'Damien Luvara']",6.7,383,22.001408,117.0,"Stanley's family is cursed with bad luck. Unfairly sentenced to months of detention at Camp Green Lake, he and his campmates are forced by the warden to dig holes in order to build character. What they don't know is that they are digging holes in order to search for a lost treasure hidden somewhere in the camp.","['curse', 'suitor', 'false accusations', 'reference to annabel lee', 'digging', 'baseball player', 'mountain climbing']",Released,['English'],"['Walt Disney Pictures', 'Chicago Pacific Entertainment', 'Walden Media', 'Phoenix Pictures']",['United States of America'],20000000,0
731,Hollywood Ending,"['Comedy', 'Drama']",2002-05-03,['Woody Allen'],"['Woody Allen', 'George Hamilton', 'Téa Leoni', 'Debra Messing', 'Mark Rydell', 'Treat Williams', 'Peter Gerety', 'Erica Leerhsen', 'Jodie Markell', 'Isaac Mizrahi', 'Marian Seldes', 'Aaron Stanford', 'Tiffani Thiessen', 'Mark Webber', 'Bob Dorian', 'Ivan Martin', 'Gregg Edelman', 'Neal Huff', 'Douglas McGrath', 'Stephanie Roth Haberle', 'Bill Gerber', 'Roxanne Perry', 'Barbara Carroll']",6.4,113,8.711782,112.0,"Woody Allen stars as Val Waxman, a two-time Oscar winner turned washed-up, neurotic director in desperate need of a comeback. When it comes, Waxman finds himself backed into a corner: Work for his ex-wife Ellie or forfeit his last shot. Is Val blinded by love when he opts for the reconnect? Is love blind when it comes to Ellie's staunch support? Literally and figuratively, the proof is the picture.","['blindness and impaired vision', 'creative crisis', 'film director']",Released,"['普通话', 'English']",['DreamWorks SKG'],['United States of America'],16000000,0
732,Holy Motors,"['Drama', 'Fantasy']",2012-07-02,['Leos Carax'],"['Eva Mendes', 'Kylie Minogue', 'Michel Piccoli', 'Edith Scob', 'Denis Lavant', 'Jean-François Balmer', 'François Rimbau', 'Karl Hoffmeister', 'Big John', 'Elise Lhomeau', 'Jeanne Disson', 'Leos Carax', 'Nastya Golubeva Carax', 'Reda Oumouzoune', 'Zlata', 'Geoffrey Carey', 'Annabelle Dexter-Jones', 'Elise Caron', 'Corinne Yam']",6.9,228,9.140936,115.0,"We follow 24 hours in the life of a being moving from life to life like a cold and solitary assassin moving from hit to hit. In each of these interwoven lives, the being possesses an entirely distinct identity: sometimes a man, sometimes a woman, sometimes youthful, sometimes old. By turns murderer, beggar, company chairman, monstrous creature, worker, family man.","['limousine', 'multiple identities', 'wig', 'penis', 'talking car', 'sewer of paris', 'traveling through a sewer', 'multiple roles']",Released,['Français'],"['Pandora Filmproduktion', 'Canal+']",['France'],0,641100
733,Home,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",2015-03-18,['Tim Johnson'],"['Jim Parsons', 'Rihanna', 'Steve Martin', 'Jennifer Lopez', 'Matt Jones', 'Brian Stepanek', 'April Lawrence', 'Stephen Kearin', 'Brian Stepanek', 'Lisa Stewart', 'April Winchell']",6.8,1519,63.473086,94.0,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.","['friendship', 'spaceship', 'space', 'alien', 'alien invasion', 'alien friendship', 'awful leader', 'taking resposibility']",Released,['English'],"['Twentieth Century Fox Film Corporation', 'DreamWorks Animation']",['United States of America'],135000000,368871007
