title,id,genres,release_date,vote_average,vote_count,popularity,runtime,overview,keywords,tagline,status,spoken_languages,production_companies,production_countries,budget,revenue
The Blair Witch Project,2667,"['Horror', 'Mystery']",1999-07-14,6.3,1055,41.690578,81.0,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.","['witch', 'voodoo', 'legend', 'sorcery', 'maryland', 'forest', 'footage', 'horror', 'true', 'student', 'lost', 'found footage', 'film']",The scariest movie of all time is a true story.,Released,['English'],"['Artisan Entertainment', 'Haxan Films']",['United States of America'],60000,248000000
Spirit: Stallion of the Cimarron,9023,"['Western', 'Animation', 'Adventure', 'Comedy', 'Family']",2002-05-24,7.4,831,41.670544,83.0,"As a wild stallion travels across the frontiers of the Old West, he befriends a young human and finds true love with a mare.","['human being', 'freedom', 'mustang', 'rivalry', 'wildlife', 'animation', 'cavalry', 'indian war', 'eyebrow', 'wild horse']",Leader. Hero. Legend.,Released,['English'],"['DreamWorks SKG', 'DreamWorks Animation']",['United States of America'],80000000,122563539
3 Days to Kill,192102,"['Action', 'Drama', 'Thriller', 'Crime']",2014-02-14,6.0,883,41.638961,113.0,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.","['retirement', 'secret service', 'illegal drugs']",NaN,Released,['English'],"['Wonderland Sound and Vision', 'EuropaCorp', 'Relativity Media', '3DTK', 'Feelgood Entertainment', 'Paradise/MGN']","['France', 'United States of America']",28000000,52597999
Apocalypto,1579,"['Action', 'Adventure', 'Drama', 'Thriller']",2006-12-07,7.3,1221,41.570047,139.0,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.","['loss of family', 'solar eclipse', 'slavery', 'jaguar', 'village', 'maya civilization', 'forest', 'tribe', 'human sacrifice', 'central america', 'maya', 'ancient civilization', 'yucatec maya language']",No one can outrun their destiny.,Released,['English'],"['Icon Productions', 'Icon Entertainment International', 'Touchstone Pictures']",['United States of America'],40000000,120175290
13 Going on 30,10096,"['Comedy', 'Fantasy', 'Romance']",2004-04-13,6.3,1204,41.569541,98.0,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!","['new york', 'photographer', 'editor-in-chief', 'wish', 'michael jackson', 'child as an adult', 'best friends in love']","For some, 13 feels like it was just yesterday. For Jenna, it was.",Released,"['English', 'Français', 'Português']","['Columbia Pictures', 'Revolution Studios', 'Thirteen Productions']",['United States of America'],37000000,96455697
Antz,8916,"['Adventure', 'Animation', 'Comedy', 'Family']",1998-10-02,6.0,1272,41.515702,83.0,"In this animated hit, a neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.","['general', 'hero', 'worker', 'ant', 'work', 'assignment', 'war', 'princess', 'soldier', 'individuality', 'friend']",Every ant has his day.,Released,['English'],"['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation']",['United States of America'],60000000,171757863
Spotlight,314365,"['Drama', 'Thriller', 'History']",2015-11-06,7.8,2686,41.503588,128.0,"The true story of how The Boston Globe uncovered the massive scandal of child abuse and the cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","['child abuse', 'journalism', 'judge', 'florida', 'boston', 'pedophilia', 'court', 'cover-up', 'priest', 'lawyer', 'catholic', 'catholic church', 'catholicism', 'september 11 2001', 'investigative journalism', 'cardinal', 'christmas']",Break the story. Break the silence.,Released,['English'],"['Universal Pictures', 'Participant Media', 'Anonymous Content', 'Rocklin / Faust', 'First Look Media']","['Canada', 'United States of America']",20000000,88346473
Romeo + Juliet,454,"['Drama', 'Romance']",1996-10-31,6.7,1374,41.493042,120.0,"In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.","['shakespeare', 'forbidden love', 'gun violence', 'star crossed lovers', 'shakespeare in modern dress', 'teenage romance', 'masquerade', ""shakespeare's romeo and juliet"", 'gangster grip']",My only love sprung from my only hate.,Released,['English'],"['Bazmark Films', 'Twentieth Century Fox Film Corporation']",['United States of America'],14500000,147298761
Seven Pounds,11321,['Drama'],2008-12-18,7.5,2039,41.472404,123.0,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,"['vegetarian', 'tax collector', 'pianist', 'blind', 'organ transplant', 'blood type']",Seven names. Seven strangers. One secret.,Released,"['English', 'Español']","['Columbia Pictures', 'Escape Artists', 'Relativity Media', 'Overbrook Entertainment']",['United States of America'],55000000,168167691
RED,39514,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",2010-10-13,6.6,2808,41.430245,111.0,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent, Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants.","['cia', 'retirement', 'shot to death', 'sniper rifle', 'retired', 'female spy', 'alarm']",Still armed. Still dangerous. Still got it.,Released,"['English', 'Pусский']","['DC Comics', 'Di Bonaventura Pictures', 'Summit Entertainment', 'DC Entertainment']",['United States of America'],58000000,71664962
The Tourist,37710,"['Action', 'Thriller', 'Romance']",2010-12-08,6.0,1699,41.426678,103.0,"American tourist Frank (Johnny Depp) meets mysterious British woman Elsie (Angelina Jolie) on the train to Venice. Romance seems to bud, but there's more to her than meets the eye. Remake of the 2005 French film ""Anthony Zimmer"", written and directed by Jérôme Salle.","['paris', 'hotel', 'false identity', 'undercover agent', 'romance']",It all started when he met a woman,Released,"['English', 'Français', 'Italiano', 'Pусский', 'Español']","['Columbia Pictures', 'Spyglass Entertainment', 'Peninsula Films', 'StudioCanal', 'Sony Pictures Releasing', 'GK Films', 'Sony Pictures Worldwide Acquisitions (SPWA)', 'Italian Tax Credit', 'Birnbaum/Barber', 'Cineroma SRL', 'French Tax Credit']","['United Kingdom', 'United States of America', 'France', 'Italy']",100000000,278731369
The Day After Tomorrow,435,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2004-05-26,6.2,2392,41.380094,124.0,"After years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new Ice Age. Paleoclimatologist, Jack Hall tries to warn the world while also shepherding to safety his son, trapped in New York after the city is overwhelmed by the start of the new big freeze.","['saving the world', 'library', 'cataclysm', 'climate change', 'greenhouse effect', 'tornado', 'twister', 'hurricane', 'hail', 'temperature drop', 'ice age', 'polar zone', 'meteorology', 'gulfstream', 'barrier ice', 'ice melting', 'third world', 'exodus', 'evacuation', 'climate', 'government', 'snow', 'los angeles', 'scientist', 'doomsday', 'antarctic', 'disaster movie']",Where will you be?,Released,"['English', '日本語', 'Français', 'العربية', 'Español']","['Lions Gate Films', 'Twentieth Century Fox Film Corporation', 'Centropolis Entertainment', 'Mark Gordon Productions', ""Mel's Cite du Cinema""]",['United States of America'],125000000,544272402
The Beach,1907,"['Drama', 'Adventure', 'Romance', 'Thriller']",2000-02-11,6.3,1233,41.362082,119.0,"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.","['hippie', 'exotic island', 'beach', 'map', 'group dynamics', 'shark attack', 'leader', 'thailand', 'community', 'backpacker', 'delusion', 'marijuana', 'youth', 'shark', 'extramarital affair']",Somewhere on this planet it must exist.,Released,"['English', 'Français', 'Hrvatski', 'svenska', 'ภาษาไทย']",['Figment Films'],"['United Kingdom', 'United States of America']",40000000,144056873
Insomnia,320,"['Crime', 'Mystery', 'Thriller']",2002-05-24,6.8,1148,41.322708,118.0,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,"['detective', 'confession', 'fbi', 'homicide', 'blackmail', 'suspect', 'love', 'murder', 'los angeles', 'teenager', 'neo-noir']",A tough cop. A brilliant killer. An unspeakable crime.,Released,['English'],"['Section Eight', 'Alcon Entertainment', 'Witt/Thomas Productions']",['United States of America'],46000000,113714830
From Russia with Love,657,"['Action', 'Thriller', 'Adventure']",1963-10-11,6.9,760,41.298723,115.0,"Agent 007 is back in the second installment of the James Bond series, this time battling a secret crime organization known as SPECTRE. Russians Rosa Klebb and Kronsteen are out to snatch a decoding device known as the Lektor, using the ravishing Tatiana to lure Bond into helping them. Bond willingly travels to meet Tatiana in Istanbul, where he must rely on his wits to escape with his life in a series of deadly encounters with the enemy","['venice', 'london england', 'terror', 'england', 'assassination', 'spy', 'assassin', 'istanbul', 'russia', 'secret mission', 'secret organization', 'secret intelligence service', 'kgb', 'orient express', 'zagreb', 'gondola', 'phantom', 'villain', 'duringcreditsstinger']",The world's masters of murder pull out all the stops to destroy Agent 007!,Released,"['English', 'Pусский', 'Türkçe', 'Română']","['United Artists', 'Eon Productions', 'Danjaq']",['United Kingdom'],2000000,78898765
Lawrence of Arabia,947,"['Adventure', 'Drama', 'History', 'War']",1962-12-10,7.8,851,41.286336,216.0,"An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.","['cairo', 'arabian', 'world war i', 'horse', 'jerusalem', 'british army', 'british empire', 'damascus', 'camel', 'war', 'desert', 'arab', 'ottoman empire']",NaN,Released,"['العربية', 'English', 'Türkçe']",['Horizon Pictures (II)'],['United Kingdom'],15000000,69995385
Enemy at the Gates,853,['War'],2001-03-13,7.2,999,41.273567,131.0,Enemy at the Gates is a war film from Jean-Jacques Annaud from 2001 that takes place during the battle of Stalingard in World War II between the Russians and the Germans.,"['winter', 'sniper', 'world war ii', 'stalingrad']",Some Men Are Born To Be Heroes.,Released,"['Deutsch', 'English', 'Pусский']","['Paramount Pictures', 'Swanford Films', 'Mandalay Pictures', 'Little Bird', 'KC Medien', 'Reperage', 'DOS', 'MP Film Management']","['Ireland', 'United States of America', 'Germany', 'United Kingdom']",68000000,96976270
Fantastic Mr. Fox,10315,"['Adventure', 'Animation', 'Comedy', 'Family']",2009-10-23,7.5,1176,41.258956,87.0,"The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.","['fox', 'tree', 'peasant', 'revenge', 'cider', 'tale', 'farm life']",Dig the life fantastic!,Released,['English'],"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'Indian Paintbrush', 'American Empirical Pictures']",['United States of America'],40000000,46471023
Ace Ventura: Pet Detective,3049,"['Comedy', 'Mystery']",1994-02-04,6.4,1648,41.249004,86.0,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man . . . or beast!","['dolphin', 'mascot', 'private detective', 'pets']","He's the best there is! (Actually, he's the only one there is.)",Released,['English'],"['Warner Bros.', 'Morgan Creek Productions']",['United States of America'],15000000,107217396
Cloudy with a Chance of Meatballs 2,109451,"['Animation', 'Family', 'Comedy']",2013-09-26,6.4,915,41.247402,95.0,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.","['inventor', 'food', 'scientist']",Something big was leftover.,Released,['English'],"['Columbia Pictures', 'Sony']",['United States of America'],78000000,248384621
Enemy of the State,9798,"['Action', 'Drama', 'Thriller']",1998-11-20,6.7,1240,41.207568,132.0,"Hotshot Washington lawyer, Robert Dean becomes a victim of high-tech identity theft when a hacker slips an incriminating video into his pocket. Soon, a rogue National Security agent sets out to recover the tape – and destroy Dean.","['corruption', 'washington d.c.', 'helicopter', 'falsely accused', 'identity', 'mexican standoff', 'blackmail', 'intelligence', 'wiretap', 'satellite', 'national security agency (nsa)', 'politics', 'exploding building', 'suspense', 'mystery', 'mafia', 'conspiracy', 'lawyer', 'crime', 'privacy', 'surveillance', 'baltimore maryland', 'secret hideout']",It's not paranoia if they're really after you.,Released,['English'],"['Jerry Bruckheimer Films', 'Scott Free Productions', 'Touchstone Pictures', 'No Such Productions']",['United States of America'],90000000,250649836
Click,9339,"['Comedy', 'Drama', 'Fantasy', 'Romance']",2006-06-22,6.0,2104,41.176631,107.0,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,"['regret', 'workaholic', 'heart attack', 'architect', 'dying and death', 'time travel', 'remote control', 'children', 'liposuction', 'hospital', 'wedding', 'dog', 'second chance', 'alternate reality', 'fatherhood', 'obese']",What If You Had A Remote... That Controlled Your Universe?,Released,"['English', 'Português', '日本語']","['Original Film', 'Columbia Pictures Corporation', 'Revolution Studios', 'Happy Madison Productions']",['United States of America'],82500000,237681299
DodgeBall: A True Underdog Story,9472,['Comedy'],2004-06-18,6.2,981,41.156217,92.0,"When megalomaniacal White Goodman, the owner of a trendy, high-end fitness center, makes a move to take over the struggling local gym run by happy-go-lucky Pete La Fleur, there's only one way for La Fleur to fight back: dodgeball. Aided by a dodgeball guru and Goodman's attorney, La Fleur and his rag-tag team of underdogs launch a knock-down, drag-out battle in which the winner takes all.","['underdog', 'competition', 'bank', 'bar', 'ball', 'cheerleader', 'diet', 'wife', 'sport', 'gymnasium', 'pleite', 'fitness-studio', 'love', 'mail order bride', 'cheerleading', 'pirate', 'aftercreditsstinger', 'duringcreditsstinger']",Grab Life By The Ball,Released,"['English', 'Deutsch']","['Twentieth Century Fox Film Corporation', 'Red Hour Films', 'Mediastream Vierte Film GmbH & Co. Vermarktungs KG']","['Germany', 'United States of America']",20000000,167722310
Brazil,68,"['Comedy', 'Science Fiction']",1985-02-20,7.5,861,41.089863,132.0,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.","['bureaucracy', 'police state', 'terror', 'great britain', 'dream', 'dystopia', 'government', 'anarchic comedy']",It's only a state of mind.,Released,['English'],['Embassy International Pictures'],['United Kingdom'],15000000,0
Moonrise Kingdom,83666,"['Comedy', 'Drama', 'Romance']",2012-05-16,7.6,1662,41.083914,94.0,"Set on an island off the coast of New England in the summer of 1965, Moonrise Kingdom tells the story of two twelve-year-olds who fall in love, make a secret pact, and run away together into the wilderness. As various authorities try to hunt them down, a violent storm is brewing off-shore – and the peaceful island community is turned upside down in more ways than anyone can handle.","['new england', 'first love', 'eye patch', 'search party', 'devastation', 'pen pal', 'handkerchief', 'child smoking', 'small town sheriff', 'the color red', 'the color blue', 'boy scouts', 'sand dancing', 'meet cute', 'boy scouts leader', 'pipe smoking', 'duringcreditsstinger']",A tormenting and surprising story of children and adults during the stormy days of the summer of 1965.,Released,['English'],"['Scott Rudin Productions', 'Indian Paintbrush', 'Focus Features', 'American Empirical Pictures', 'Moonrise']",['United States of America'],16000000,68263166
The Road,20766,"['Adventure', 'Drama']",2009-11-25,6.8,1087,41.075532,111.0,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind and water. It is cold enough to crack stones, and, when the snow falls it is gray. The sky is dark. Their destination is the warmer south, although they don't know what, if anything, awaits them there.","['post-apocalyptic', 'dystopia', 'paternity', 'duringcreditsstinger']",In a moment the world changed forever.,Released,['English'],"['2929 Productions', 'Dimension Films', 'Nick Wechsler Productions', 'Chockstone Pictures']",['United States of America'],32000000,27635305
Sinister,82507,"['Horror', 'Thriller', 'Mystery']",2012-03-29,6.7,1573,41.045084,110.0,"Found footage helps a true-crime novelist realize how and why a family was murdered in his new home, though his discoveries put his entire family in the path of a supernatural entity.","['drowning', 'pennsylvania', 'child murderer', 'car set on fire', 'murder', 'bag over head', 'massacre', 'power outage', 'hanged man', 'held captive', 'hanging', 'death', 'attic', 'no opening credits', 'super-8', 'ghost child', 'filmed killing', 'crime novelist']","Once you see him, nothing can save you.",Released,"['English', 'Português', 'Français', '']","['Alliance Films', 'Blumhouse Productions', 'IM Global', 'Automatik Entertainment', 'Possessed Pictures']",['United States of America'],3000000,77712439
The Descendants,65057,"['Comedy', 'Drama']",2011-09-09,6.7,934,40.903931,115.0,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron, Matt King takes his daughters on a trip from Oahu to Kauai to confront the young real estate broker, who was having an affair with Elizabeth before her misfortune.","['hawaii', 'father-in-law', 'daughter', 'cheating wife', 'beach house', 'boating accident', 'estate', 'dying mother', 'beautiful girl', 'teenage daughter', 'trustee', 'trust fund', 'wild girl', 'wild child', 'realtor']",The South Pacific ain't that terrific.,Released,['English'],"['Fox Searchlight Pictures', 'Dune Entertainment', 'Ad Hominem Enterprises']",['United States of America'],20000000,177243185
Resident Evil,1576,"['Horror', 'Action', 'Science Fiction']",2002-03-15,6.4,2065,40.715623,100.0,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak. Alice and Rain are charged with leading the mission. But they only have three hours before the pathogen becomes airborne and infects the world.","['undercover', 'mutant', 'dystopia', 'conspiracy', 'zombie', 'based on video game']",A secret experiment. A deadly virus. A fatal mistake.,Released,['English'],"['Impact Pictures', 'Davis-Films', 'New Legacy', 'Constantin Film Produktion']","['France', 'Germany', 'United Kingdom', 'United States of America']",33000000,102984862
Shame,76025,['Drama'],2011-10-02,7.0,875,40.688426,100.0,"Brandon is a New Yorker who shuns intimacy with women but feeds his desires with a compulsive addiction to sex. When his wayward younger sister moves into his apartment stirring memories of their shared painful past, Brandon's insular life spirals out of control.","['pornography', 'brother sister relationship', 'sex addiction', 'new york city', 'thirty something', 'sex addict']",NaN,Released,['English'],"['HanWay Films', 'UK Film Council', 'Alliance Films', 'See-Saw Films', 'Film4', 'Lipsync Productions']",['United Kingdom'],6500000,17693675
Bridge to Terabithia,1265,"['Adventure', 'Drama', 'Family']",2007-02-16,7.0,1113,40.646102,96.0,"Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.","['brother sister relationship', 'friendship', 'bullying', 'neighbor', 'school', 'drawing', ""based on children's book"", 'school bus', 'imagination', 'creek', 'clubhouse', 'reality vs fantasy', 'outsider', 'fantasy world', 'overflowing with imagination']","Close your eyes, but keep your mind wide open.",Released,['English'],"['Walden Media', 'Hal Lieberman Company', 'Lauren Levine Productions Inc.']",['United States of America'],60000000,137587063
Jackie Brown,184,"['Comedy', 'Crime', 'Romance']",1997-12-24,7.3,1514,40.631671,154.0,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan—with help from a bail bondsman—to keep the money for herself. Based on Elmore Leonard's novel “Rum Punch”.","['airport', 'underworld', 'arms deal', 'weapon', 'police', 'drug']",Six players on the trail of a half a million in Cash. There's only one question... Who's playing who?,Released,['English'],['Miramax Films'],['United States of America'],12000000,39673162
The Taking of Pelham 1 2 3,18487,"['Thriller', 'Drama', 'Crime']",2009-06-11,6.2,954,40.597856,106.0,"Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime.","['hostage', 'new york city', 'new york subway', 'subway train', 'stock market', 'motorcycle crash', 'subway tunnel', 'aftercreditsstinger']",I can't get it out of my head. I'm gonna die today.,Released,['English'],"['Columbia Pictures', 'Escape Artists', 'Scott Free Productions', 'Relativity Media', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],100000000,150166126
Friends with Benefits,50544,"['Romance', 'Comedy']",2011-07-21,6.5,2237,40.526587,109.0,"Jamie is a New York-based executive recruiter who entices Dylan, an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship.","['funeral', 'friends', 'hospital', 'aftercreditsstinger', 'duringcreditsstinger']",Some friends come with a happy ending.,Released,['English'],"['Castle Rock Entertainment', 'Screen Gems', 'Olive Bridge Entertainment']",['United States of America'],35000000,150483765
Jurassic Park,329,"['Adventure', 'Science Fiction']",1993-06-11,7.6,4856,40.413191,127.0,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.","['exotic island', 'dna', 'paleontology', 'tyrannosaurus rex', 'triceratops', 'brontosaurus', 'electric fence', 'island', 'dinosaur', 'amusement park', 'theme park', 'jurassic park']",An adventure 65 million years in the making.,Released,"['English', 'Español']","['Universal Pictures', 'Amblin Entertainment']",['United States of America'],63000000,920100000
A Few Good Men,881,['Drama'],1992-12-11,7.1,877,40.379966,138.0,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.","['suicide', 'underdog', 'suspicion of murder', 'court case', 'navy', 'law', 'dying and death', 'guantanamo bay', 'marine corps', 'military court', 'code red', 'command', 'military base', 'u.s. navy', 'sexism', 'right and justice', 'based on play', 'court martial', 'flashback', 'platoon leader', 'military law']",NaN,Released,['English'],['David Brown Productions'],['United States of America'],40000000,243240178
Child 44,181283,"['Crime', 'Thriller']",2015-03-15,6.1,547,40.371098,137.0,"Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.","['based on novel', 'soviet union', 'russian', 'murder', 'serial killer', 'military', 'child murder', 'stalinism', '1950s']",How do you find a killer who doesn’t exist?,Released,['English'],"['Summit Entertainment', 'Scott Free Productions', 'Worldview Entertainment']","['United Kingdom', 'United States of America', 'Czech Republic', 'Romania']",50000000,3324330
Donnie Brasco,9366,"['Crime', 'Drama', 'Thriller']",1997-02-27,7.4,1147,40.370442,127.0,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,"['undercover', 'colombia', 'mafia', 'mobster', 'dirty cop', 'informant', 'stealing money', 'marriage counselor', 'shaving cream', 'playing cards']",Based on a true story.,Released,"['日本語', 'English', 'Italiano']","['TriStar Pictures', 'Mark Johnson Productions', 'Phoenix Pictures', 'Baltimore Pictures']",['United States of America'],35000000,41954997
The DUFF,272693,"['Romance', 'Comedy']",2015-02-20,6.8,1322,40.28709,100.0,"Bianca's universe turns upside down when she learns that her high school refers to her as a ‘DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF… and that's totally fine.","['high school', 'teenager', 'popularity', 'high school student', 'teen comedy', 'duringcreditsstinger', 'girl next door', 'based on young adult novel']","You either know one, you have one, or you are one.",Released,['English'],"['Wonderland Sound and Vision', 'CBS Films', 'Vast Entertainment']",['United States of America'],8500000,43528634
Kick-Ass 2,59859,"['Action', 'Adventure', 'Crime']",2013-07-17,6.3,2224,40.28635,103.0,"After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.","['crime fighter', 'secret identity', 'marvel comic', 'superhero', 'aftercreditsstinger', 'teen superheroes']",You Can't Fight Your Destiny.,Released,['English'],"['Universal Pictures', 'Marv Films']","['United States of America', 'United Kingdom']",28000000,60700000
The Raid,94329,"['Action', 'Thriller', 'Crime']",2011-09-08,7.3,1055,40.285095,101.0,"Deep in the heart of Jakarta's slums lies an impenetrable safe house for the world's most dangerous killers and gangsters. Until now, the run-down apartment block has been considered untouchable to even the bravest of police. Cloaked under the cover of pre-dawn darkness and silence, an elite swat team is tasked with raiding the safe house in order to take down the notorious drug lord that runs it.  But when a chance encounter with a spotter blows their cover and news of their assault reaches the drug lord, the building's lights are cut and all the exits blocked. Stranded on the sixth floor with no way out, the unit must fight their way through the city's worst to survive their mission. Starring Indonesian martial arts sensation Iko Uwais.","['crime boss', 'tenement', 'high rise', 'monitor', 'tower block', 'jakarta indonesia', 'swat', 'swat team']","1 Ruthless Crime Lord, 20 Elite Cops, 30 Floors of Hell",Released,['Bahasa indonesia'],"['Celluloid Dreams', 'Pt. Merantau Films', 'XYZ Films']","['Indonesia', 'United States of America', 'France']",1100000,4105187
The Wrestler,12163,"['Drama', 'Romance']",2008-09-07,7.3,1000,40.196514,109.0,"Aging wrestler Randy ""The Ram"" Robinson is long past his prime but still ready and rarin' to go on the pro-wrestling circuit. After a particularly brutal beating, however, Randy hangs up his tights, pursues a serious relationship with a long-in-the-tooth stripper, and tries to reconnect with his estranged daughter. But he can't resist the lure of the ring and readies himself for a comeback.","['supermarket', 'heart attack', 'ambition', 'daughter', 'wrestling', 'sport', 'stripper', 'steroids', 'fame', 'barbed wire', 'wrestler', 'redemption']",Love. Pain. Glory.,Released,['English'],"['Saturn Films', 'Wild Bunch', 'Protozoa Pictures', 'Top Rope']",['United States of America'],6000000,44703995
The Princess Diaries,9880,"['Comedy', 'Family', 'Romance']",2001-08-03,6.5,1023,40.176265,115.0,"A socially awkward but very bright 15-year-old girl being raised by a single mom discovers that she is the princess of a small European country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of Genovia. She must make a choice between continuing the life of a San Francisco teen or stepping up to the throne.","['heir to the throne', 'grandmother granddaughter relationship', 'high school', 'princess', 'royalty', 'teenager', 'popularity', 'social outcast', 'based on young adult novel']",She rocks. She rules. She reigns.,Released,['English'],"['Walt Disney Pictures', 'BrownHouse Productions', 'Bottom of the Ninth Productions']",['United States of America'],37000000,165335153
